Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0603_1608Metric",152.300000,-105.100000,180.000000,top
"C2","100nF","C_0603_1608Metric",162.500000,-105.100000,0.000000,top
"C3","100nF","C_0402_1005Metric",159.900000,-108.900000,180.000000,top
"C4","10uF","C_0603_1608Metric",165.900000,-105.100000,180.000000,top
"C5","10uF","C_0603_1608Metric",165.900000,-91.175000,90.000000,top
"C6","100nF","C_0603_1608Metric",165.900000,-98.000000,-90.000000,top
"C7","100nF","C_0603_1608Metric",165.900000,-94.600000,-90.000000,top
"R1","33k","R_0402_1005Metric",159.900000,-109.900000,180.000000,top
"R2","56k","R_0402_1005Metric",159.900000,-110.900000,0.000000,top
"R4","10k","R_0603_1608Metric",153.000000,-109.900000,-90.000000,top
"R6","10k","R_0603_1608Metric",162.200000,-109.900000,-90.000000,top
"R7","0","R_0603_1608Metric",148.900000,-89.800000,90.000000,top
"R8","39","R_0603_1608Metric",148.900000,-97.600000,90.000000,top
"R10","10k","R_0603_1608Metric",148.900000,-101.500000,90.000000,top
"R11","0","R_0603_1608Metric",165.900000,-101.400000,-90.000000,top
"U1","TPS73601DBV","SOT-23-5",156.500000,-109.900000,180.000000,top
"U2","TXS0102DCU","VSSOP-8_2.3x2mm_P0.5mm",149.600000,-110.000000,180.000000,top
"U3","TXS0102DCU","VSSOP-8_2.3x2mm_P0.5mm",165.400000,-109.900000,0.000000,top
